fecha,tmed,tmin,tmax,dir,velmedia,racha,presMin,presMax,prec,rain
2001-01-01,11.6,6.8,16.4,13.0,2.5,6.4,,,8.4,1
2001-01-02,15.5,11.0,20.0,35.0,1.7,6.7,,,0.1,1
2001-01-03,14.4,9.0,19.8,20.0,1.9,5.6,,,0.0,0
2001-01-04,16.4,11.3,21.4,21.0,1.7,5.6,,,0.0,0
2001-01-05,15.9,11.7,20.1,27.0,2.2,13.3,,,3.3,1
2001-01-06,14.0,11.0,16.9,21.0,1.7,11.1,,,2.5,1
2001-01-07,11.0,7.8,14.2,35.0,3.1,10.8,,,0.0,0
2001-01-08,10.8,5.7,15.8,31.0,2.8,8.1,,,0.0,0
2001-01-09,9.4,3.3,15.5,13.0,1.9,5.3,,,0.3,1
2001-01-10,13.9,11.2,16.6,11.0,1.9,4.7,,,0.9,1
2001-01-11,13.4,10.4,16.4,23.0,1.9,10.3,,,17.9,1
2001-01-12,12.2,9.8,14.6,11.0,0.3,6.9,,,2.8,1
2001-01-13,13.2,9.7,16.8,1.0,2.8,10.3,,,0.0,0
2001-01-14,13.4,9.3,17.5,33.0,1.7,7.5,,,0.0,0
2001-01-15,12.8,7.7,18.0,31.0,2.5,7.5,,,0.0,0
2001-01-16,12.2,7.6,16.9,31.0,2.2,8.9,,,0.3,1
2001-01-17,12.8,9.4,16.2,2.0,1.7,9.7,,,0.0,0
2001-01-18,11.8,9.3,14.3,30.0,1.4,11.7,,,3.2,1
2001-01-19,12.5,9.9,15.1,32.0,3.6,14.2,,,0.0,0
2001-01-20,13.3,7.7,18.9,29.0,1.1,9.2,,,0.0,0
2001-01-21,11.1,4.8,17.4,34.0,1.7,5.3,,,0.0,0
2001-01-22,12.0,5.3,18.6,9.0,1.7,5.8,,,0.0,0
2001-01-23,16.0,9.2,22.7,20.0,1.1,5.0,,,0.0,0
2001-01-24,16.6,11.1,22.2,29.0,1.9,10.8,,,0.5,1
2001-01-25,,,,,2.2,,,,0.7,1
2001-01-26,,,,,,,,,0.0,0
2001-01-27,,,,,,,,,1.8,1
2001-01-28,,,,,,,,,0.0,0
2001-01-29,,,,,,,,,0.0,0
2001-01-30,12.5,7.8,17.2,35.0,3.9,11.1,,,0.0,0
2001-01-31,15.0,9.5,20.4,3.0,2.8,10.6,,,0.0,0
2001-02-01,16.7,12.4,21.0,30.0,4.2,9.7,,,0.0,0
2001-02-02,,,,,,,,,0.0,0
2001-02-03,13.7,9.0,18.4,8.0,1.9,5.0,,,0.0,0
2001-02-04,14.0,9.4,18.7,30.0,2.2,9.7,,,0.0,0
2001-02-05,16.0,10.4,21.7,2.0,1.7,6.1,,,0.0,0
2001-02-06,13.0,7.3,18.7,15.0,2.2,6.7,,,0.0,0
2001-02-07,14.6,10.4,18.7,25.0,4.2,12.8,,,1.3,1
2001-02-08,13.4,9.5,17.2,32.0,2.2,12.2,,,0.1,1
2001-02-09,13.3,8.4,18.2,,2.8,,,,0.0,0
2001-02-10,16.9,11.4,22.4,31.0,2.5,9.2,,,0.0,0
2001-02-11,14.2,9.3,19.0,13.0,3.3,10.3,,,0.0,0
2001-02-12,14.0,8.5,19.6,14.0,1.9,7.2,,,0.0,0
2001-02-13,15.4,6.7,24.2,4.0,2.2,10.3,,,0.0,0
2001-02-14,15.1,11.3,18.9,30.0,2.5,10.8,,,1.7,1
2001-02-15,12.3,9.0,15.6,15.0,2.2,8.6,,,0.9,1
2001-02-16,12.6,6.9,18.4,17.0,2.2,5.3,,,0.0,0
2001-02-17,13.4,7.0,19.8,18.0,2.2,6.4,,,0.0,0
2001-02-18,13.9,7.1,20.7,14.0,2.2,13.3,,,11.7,1
2001-02-19,13.0,10.2,15.7,13.0,6.7,17.5,,,0.0,0
2001-02-20,13.0,9.7,16.4,17.0,2.5,10.3,,,0.0,0
2001-02-21,13.4,8.0,18.7,19.0,2.2,5.0,,,0.0,0
2001-02-22,13.5,7.0,20.0,34.0,1.9,5.6,,,0.0,0
2001-02-23,17.1,11.1,23.1,30.0,2.2,15.6,,,0.0,0
2001-02-24,13.8,9.2,18.5,31.0,2.2,8.1,,,0.0,0
2001-02-25,14.4,9.4,19.5,20.0,1.1,10.3,,,0.0,0
2001-02-26,12.4,7.6,17.3,18.0,2.2,6.9,,,1.0,1
2001-02-27,11.6,7.7,15.6,,3.6,,,,0.0,0
2001-02-28,11.8,9.0,14.5,32.0,3.1,10.8,,,0.0,0
2001-03-01,12.8,9.1,16.6,24.0,3.1,10.0,,,11.2,1
2001-03-02,17.0,14.6,19.3,25.0,2.2,25.8,,,9.2,1
2001-03-03,16.2,12.9,19.5,26.0,2.5,12.5,,,2.7,1
2001-03-04,16.8,13.3,20.2,25.0,4.2,11.1,,,3.0,1
2001-03-05,17.8,14.4,21.2,19.0,1.7,5.8,,,0.0,0
2001-03-06,18.6,13.2,24.1,15.0,2.5,5.6,,,0.0,0
2001-03-07,17.0,14.4,19.7,26.0,3.3,13.9,,,0.4,1
2001-03-08,14.8,11.3,18.3,29.0,1.7,4.4,,,0.0,0
2001-03-09,17.0,11.7,22.3,33.0,1.7,10.3,,,0.0,0
2001-03-10,20.1,16.5,23.7,34.0,2.2,11.1,,,0.0,0
2001-03-11,18.6,13.5,23.7,29.0,1.9,7.5,,,0.0,0
2001-03-12,17.2,10.8,23.5,2.0,1.9,11.9,,,0.0,0
2001-03-13,15.1,10.4,19.8,12.0,3.9,12.2,,,0.0,0
2001-03-14,13.8,8.2,19.4,14.0,2.2,7.8,,,0.0,0
